label,link,specialization,films_years,description
Борис Руднев,https://www.kinopoisk.ru/name/315852,"Актер,Актер дубляжа","52, 1966 — 1994","Его батальон,Иван Макарович,Горячий снег,Государственная граница. Фильм 2. Мирное лето 21-го года,Беспредел,Государственная граница,Хождение по мукам,Открытая книга,Долгие версты войны"
Борис Рыцарев,https://www.kinopoisk.ru/name/193820,"Режиссер,Сценарист","18, 1958 — 1992","Ученик лекаря,Волшебная лампа Аладдина,Принцесса на горошине,На златом крыльце сидели,Иван да Марья"
Олег Малафеев,https://www.kinopoisk.ru/name/7131341,Актер,"1, 2023 — 2023",Отмороженные
Инна Степанова,https://www.kinopoisk.ru/name/1615053,Актриса,"45, 2000 — 2023","Северное сияние. Когда мёртвые возвращаются. Фильм седьмой,Северное Сияние. Тайна огненных рун. Фильм девятый,Тест на беременность,Ваша честь,Тест на беременность 2,Хрустальный,Григорий Р."
Константин Буслов,https://www.kinopoisk.ru/name/1130419,"Продюсер,Режиссер,Сценарист","17, 2006 — 2023","Бронекатер,Калашников,1941. Крылья над Берлином"
Эдуард Мацаберидзе,https://www.kinopoisk.ru/name/1897421,"Актер,Сценарист","12, 2011 — 2020",Сладкая жизнь
Наркас Искандарова,https://www.kinopoisk.ru/name/4164287,"Режиссер,Продюсер,Сценарист,Актриса","6, 2015 — 2023",
Артём Герц,https://www.kinopoisk.ru/name/6796456,Актер,"1, 2022 — 2022",
Светлана Ходченкова,https://www.kinopoisk.ru/name/224384,"Актриса,Режиссер,Сценарист,Продюсер,Оператор,Актриса дубляжа","112, 2003 — 2024","Благословите женщину,На острие,Жена Сталина,Скажи ей,Не хлебом единым,Казанова,Домашний арест,Куприн. Яма,Краткий курс счастливой жизни,«Везёт»"
Лариса Кривцова,https://www.kinopoisk.ru/name/1981672,"Продюсер,Сценарист,Актриса,Директор фильма","8, 1990 — 2014",
Данила Чванов,https://www.kinopoisk.ru/name/2328894,Актер,"8, 2009 — 2021","Отель Элеон,Листьев. Новый взгляд"
Константин Пахотин,https://www.kinopoisk.ru/name/2008028,Художник,"29, 2005 — 2023","Подольские курсанты,Русский крест,Аманат,От печали до радости,Жмурки,Женский батальонъ,Достоевский,Ладога,Василиса,Бездна"
Алина Левшин,https://www.kinopoisk.ru/name/1855437,Актриса,"40, 1986 — 2024","Наши матери, наши отцы"
Сергей Матвиенко,https://www.kinopoisk.ru/name/4748026,Актер,"28, 2009 — 2023",Истории в кино: Притворись моей
Денис Бургазлиев,https://www.kinopoisk.ru/name/17985,Актер,"63, 1984 — 2023","Превосходство Борна,Ищейка,Медсестра,Отель «Толедо»,Палач,Вавилон-Берлин"
Люсьена Овчинникова,https://www.kinopoisk.ru/name/277614,Актриса,"70, 1959 — 2011","Девчата,Мама вышла замуж,Сильные духом,Большое космическое путешествие,Девять дней одного года,Большая перемена,Женщины, которым повезло,Ералаш,Ольга Сергеевна,И снова Анискин"
Юлия Мигирова,https://www.kinopoisk.ru/name/2286863,Актриса дубляжа,"1, 2007 — 2007",
Дмитрий Назаров,https://www.kinopoisk.ru/name/273292,"Актер,Актер дубляжа","101, 1967 — 2021","Концерт,Фиксики против кработов,Фиксики: Большой секрет,Большое путешествие,Князь Владимир,Кухня,Вызов,Штрафбат,Закон,Красная капелла"
Павел Акимкин,https://www.kinopoisk.ru/name/1813399,"Актер,Композитор,Актер дубляжа","22, 2004 — 2023","Доктор,Куприн. Впотьмах,Иванько"
Светлана Казарцева,https://www.kinopoisk.ru/name/1916521,"Актриса дубляжа,Актриса","41, 2002 — 2023",Зелёный фургон
Мария Зайцева,https://www.kinopoisk.ru/name/3073228,Продюсер,"7, 2022 — 2022",
Анна Сафрончик,https://www.kinopoisk.ru/name/247752,Актриса,"22, 2000 — 2023",
Ева Жук,https://www.kinopoisk.ru/name/5780264,Актриса,"6, 2018 — 2021","Великолепная пятёрка,Крепкие орешки,Условный мент"
Екатерина Данилова,https://www.kinopoisk.ru/name/2347211,Актриса,"23, 2006 — 2024","Остров Обречённых,ЧС. Чрезвычайная ситуация,Ментовские войны 5,Спасти босса,Физрук"
Роман Ладнев,https://www.kinopoisk.ru/name/1601736,Актер,"52, 2007 — 2023","Мастер и Маргарита,Поп,Пятая группа крови,Безсоновъ,Джокер,Тонкая грань,Путейцы"
Марина Характерова,https://www.kinopoisk.ru/name/6520029,Актриса,"2, 2022 — 2024",
Михаил Царев,https://www.kinopoisk.ru/name/347458,"Актер,Режиссер","22, 1932 — 1986","Горе от ума,Горе от ума,Пигмалион"
Любовь Аксёнова,https://www.kinopoisk.ru/name/2460349,"Актриса,Актриса дубляжа","78, 2005 — 2024","Майор Гром: Чумной Доктор. Расширенная версия,Майор Гром: Чумной Доктор,Без меня,Салют-7,Рассказы,Мажор,Обнимая небо,Вокально—криминальный ансамбль,Цыпленок жареный,Бывшие"
Полина Ртищева,https://www.kinopoisk.ru/name/2602468,Актриса,1,Ералаш
Вера Быкова,https://www.kinopoisk.ru/name/93457,Актриса,"22, 1967 — 2013","Луной был полон сад,Переступить черту,Звезды и солдаты,Противостояние,Одну тебя люблю,Счастливчик Пашка"
Евгений Никоноров,https://www.kinopoisk.ru/name/3388627,"Актер,Художник","4, 2007 — 2014",Глухарь. Возвращение
Григорий Горин,https://www.kinopoisk.ru/name/294157,"Сценарист,Актер","39, 1962 — 2022","Тот самый Мюнхгаузен,Формула любви,Поминальная молитва,Маленькие комедии большого дома,О бедном гусаре замолвите слово"
Алекса Флекси,https://www.kinopoisk.ru/name/5624791,Актриса,"4, 2005 — 2017",
Денис Шевченко,https://www.kinopoisk.ru/name/1599033,Актер,"18, 2000 — 2021","ДМБ,Казус Кукоцкого"
Дарья Кормышева,https://www.kinopoisk.ru/name/7180699,"Актриса,Сценарист,Продюсер","4, 2010 — 2023",
Дмитрий Нагиев,https://www.kinopoisk.ru/name/551325,"Актер,Актер дубляжа","148, 1974 — 2023","Чистилище,Убийство в «Гнезде фазана»,Палач,Кухня,Катя: Военная история,Физрук,Каменская,Ералаш"
Ольга Куркулина,https://www.kinopoisk.ru/name/2936443,"Актриса,Продюсер","8, 2013 — 2021",
Виктор Михайлов,https://www.kinopoisk.ru/name/7089410,Актер,"12, 2020 — 2023","Любовь во всём виновата,Крестецкая вышивка,Сёстры,Счастье меня найдет"
Александр Милюков,https://www.kinopoisk.ru/name/313242,"Режиссер,Актер,Сценарист,Режиссер дубляжа","4, 1962 — 1983",
Павел Сьянов,https://www.kinopoisk.ru/name/3504020,Актер,"12, 2010 — 2017","Молодёжка,Петр Лещенко. Все, что было…,Слава"
Александр Щелкушкин,https://www.kinopoisk.ru/name/4555937,Продюсер,"9, 2016 — 2020",
Алексей Иващенко,https://www.kinopoisk.ru/name/304577,"Актер дубляжа,Актер,Режиссер,Сценарист,Композитор","203, 1963 — 2022",Дура
Евгений Меньшов,https://www.kinopoisk.ru/name/269890,Актер,"27, 1971 — 2016","Пока стоят горы...,...А зори здесь тихие,Государственная граница. Фильм 3. Восточный рубеж,Главный конструктор"
Гаянэ Калмыкова,https://www.kinopoisk.ru/name/5000036,Актриса,"5, 2016 — 2022",
Армен Григорян,https://www.kinopoisk.ru/name/2799842,Актер,"3, 1994 — 2008",
Александр Рудь,https://www.kinopoisk.ru/name/6955553,Актер,"10, 2010 — 2023","Девушки с Макаровым,Короче,Аврора"
Сергей Безруков,https://www.kinopoisk.ru/name/224620,"Актер,Актер дубляжа,Продюсер,Режиссер,Сценарист","129, 1974 — 2025","Подольские курсанты,Псих,Мистер Нокаут,Учености плоды,Каникулы строгого режима,Бригада,Бизон: Дело манекенщицы,Мастер и Маргарита,Есенин,Шпион"
Наташа Яровенко,https://www.kinopoisk.ru/name/763625,Актриса,"26, 2000 — 2020",
Николай Малаев,https://www.kinopoisk.ru/name/1603695,Актер,"28, 1999 — 2015",Слушатель
Филипп Дьячков,https://www.kinopoisk.ru/name/2391556,Актер,"49, 2007 — 2023","Король и Шут: Сказка о Горшке и Князе,Полярный,Король и Шут,Мир! Дружба! Жвачка!,Ментовские войны 6,Невский. Проверка на прочность"
Никита Колесов,https://www.kinopoisk.ru/name/4194149,Оператор,"1, 2015 — 2015",
Ольга Когут,https://www.kinopoisk.ru/name/1603590,Актриса,"66, 1994 — 2021","Непокоренный,Бомж,Чужая жизнь,Женский доктор,След оборотня,Порох и дробь,Пёс"
Анна Оккерт,https://www.kinopoisk.ru/name/4487430,"Художник,Актриса","12, 2013 — 2023",Омар в большом городе
Ольга Альберти,https://www.kinopoisk.ru/name/5504196,Актриса,"5, 2013 — 2018",Мажор 2
Хусейн Дауров,https://www.kinopoisk.ru/name/6959223,"Режиссер,Монтажер,Актер,Сценарист,Продюсер","3, 2013 — 2022",
Сергей Бурунов,https://www.kinopoisk.ru/name/1193331,"Актер дубляжа,Актер","444, 1990 — 2023","Я тебя люблю — Je t’aime,Родные,Остров,Происшествие в стране Мульти-Пульти,Последний богатырь: Корень зла,Слово пацана. Кровь на асфальте,Домашний арест,Полицейский с Рублёвки,Полицейский с Рублёвки в Бескудниково,Ивановы-Ивановы"
Александр Ряполов,https://www.kinopoisk.ru/name/4471304,Актер,"4, 2017 — 2017",Движение вверх
Абдель Фифтибаев,https://www.kinopoisk.ru/name/5035915,"Режиссер,Сценарист,Продюсер,Монтажер","2, 2018 — 2023",
Саибджан Ахмедов,https://www.kinopoisk.ru/name/3691958,Актер,"1, 2013 — 2013",
Антон Красовский,https://www.kinopoisk.ru/name/2339835,"Режиссер,Сценарист,Продюсер","4, 2020 — 2022",
Анастасия Сомова,https://www.kinopoisk.ru/name/3788309,Актриса,"9, 2010 — 2021","Битва,Хэппи-энд"
Михаил Кириченко,https://www.kinopoisk.ru/name/3753553,Актер,"1, 2015 — 2015",
Константин Умрихин,https://www.kinopoisk.ru/name/6567577,Актер,"6, 2018 — 2022",Оффлайн
Алина Бабак,https://www.kinopoisk.ru/name/3304537,Актриса,"41, 2007 — 2022","Асфальтовое солнце,А зори здесь тихие...,Практика,А зори здесь тихие…,Неопалимая купина,Пищеблок"
Артем Мирошин,https://www.kinopoisk.ru/name/3221573,"Режиссер,Сценарист,Продюсер,Оператор,Композитор,Монтажер","1, 2013 — 2013",
Мария Буравлева,https://www.kinopoisk.ru/name/1625441,Актриса,"26, 2004 — 2023","Привет, Киндер!,Розыск 2,Розыск,Жуков,Между нами, девочками. Продолжение"
Антон Ельчин,https://www.kinopoisk.ru/name/752,Актер,"87, 1993 — 2019","Сердца в Атлантиде,Альфа Дог,Неуправляемый,Выживут только любовники,Ангел-хранитель,Скорая помощь,Мыслить как преступник,Практика,Волшебный мир Дисней,Похищенный"
Владимир Селезнев,https://www.kinopoisk.ru/name/1757909,Актер,"87, 2000 — 2024","Метод Михайлова,Игра с огнём,Ворона,Мажор,Чужой район 3"
Артём Пушкин,https://www.kinopoisk.ru/name/1897098,Актер,"5, 2009 — 2009",
Сергей Клановский,https://www.kinopoisk.ru/name/266208,Актер,"35, 1985 — 2020","Небеса обетованные,Ермак,Кто, если не мы,Игра на миллионы,Диверсант,Ермак,Вольф Мессинг: Видевший сквозь время,Дом образцового содержания"
Вячеслав Зинуров,https://www.kinopoisk.ru/name/5872904,,4,
Петр Глебов,https://www.kinopoisk.ru/name/194875,"Актер,Актер дубляжа","57, 1940 — 2005","Мужики!..,Тихий Дон,Балтийское небо,Освобождение: Направление главного удара,Юность Петра,Поднятая целина,Сердце Бонивура"
Андрей Антонов,https://www.kinopoisk.ru/name/7059013,Актер,"2, 2019 — 2022",
Юлия Александрова,https://www.kinopoisk.ru/name/1714177,"Актриса,Оператор","62, 2004 — 2023","Баба Мороз и тайна Нового года,Папа,Кощей. Начало,Слово пацана. Кровь на асфальте,#СидЯдома,Кеша должен умереть,Звоните ДиКаприо!,Зона"
Ольга Барз,https://www.kinopoisk.ru/name/5439559,Актриса,"18, 2001 — 2019",
Ольга Озоллапиня,https://www.kinopoisk.ru/name/3335984,Актриса,"19, 2011 — 2023","Как Витька Чеснок вёз Лёху Штыря в дом инвалидов,Фишер,Раскол,Серебряный волк,Склифосовский,Псих"
Глеб Борисов,https://www.kinopoisk.ru/name/6501691,Актер,"3, 2021 — 2022",Солнцепек
Олег Евтеев,https://www.kinopoisk.ru/name/2804147,Актер,"86, 1999 — 2023","Поехавшая,Кентавр,Здоровый человек,Спецбат,Триггер,Карпов,Глухарь. Продолжение,Крапленый"
Вадим Мадянов,https://www.kinopoisk.ru/name/327429,"Актер,Режиссер","18, 1972 — 2015","Кадкина всякий знает,Перевод с английского,Раскол,Мосгаз,И снова Анискин,Выстрел"
Кристина Асмус,https://www.kinopoisk.ru/name/1959253,"Актриса,Актриса дубляжа","51, 2010 — 2025","Своя война. Шторм в пустыне,Чемпионы: Быстрее. Выше. Сильнее,А зори здесь тихие...,Тётя Марта,А зори здесь тихие…,Синдром дракона,Интерны"
Виссарион Аплиаа,https://www.kinopoisk.ru/name/1942739,,1,
Лолита Милявская,https://www.kinopoisk.ru/name/543779,Актриса,"58, 1991 — 2023","Тень, или Может быть, все обойдется,День радио,LAB с Антоном Беляевым,Маски-шоу"
Натали Старынкевич,https://www.kinopoisk.ru/name/2461019,Актриса,"35, 2009 — 2024","Нелюбовь,Другая,Шелест. Большой передел,Глухарь. Возвращение,Отмена всех ограничений,Ничто не случается дважды"
Владислав Ковальков,https://www.kinopoisk.ru/name/269896,"Актер дубляжа,Актер","183, 1956 — 1998","Легкая жизнь,Шофер поневоле,Солдаты,Через тернии к звездам,Город зажигает огни,Семнадцать мгновений весны,Долгая дорога в дюнах,ТАСС уполномочен заявить…,Поднятая целина"
Кирилл Гордеев,https://www.kinopoisk.ru/name/4052609,Актер,"2, 2001 — 2022",Пятницкий. Глава третья
Ксения Масленникова,https://www.kinopoisk.ru/name/7172371,Актриса,"12, 2006 — 2023","Ищейка,Скорая помощь 3,Киллер"
Ольга Елисеева,https://www.kinopoisk.ru/name/4718506,Актриса,"1, 2017 — 2017",
Пётр Фёдоров,https://www.kinopoisk.ru/name/52108,"Актер,Сценарист,Актер дубляжа,Режиссер,Монтажер,Композитор,Продюсер","89, 2000 — 2023","Летчик,Ёлки 2,А зори здесь тихие...,ДМБ,Я тебя люблю — Je t’aime,Охотники за бриллиантами,А зори здесь тихие…,Перевал Дятлова,Территория,Ласт квест"
Захар Винников,https://www.kinopoisk.ru/name/3730891,Оператор,"2, 2012 — 2013",
Елена Тяпкина,https://www.kinopoisk.ru/name/220223,Актриса,"40, 1926 — 1980","Радуга,Дом на Трубной,Веселые ребята,Война и мир: Наташа Ростова,Война и мир: Андрей Болконский,Каникулы Кроша,Война и мир,Поднятая целина"
Илья Баскин,https://www.kinopoisk.ru/name/22697,Актер,"109, 1954 — 2023","Октябрьское небо,Будучи там,Имя розы,Ангелы и Демоны,Телеграмма,Большая перемена,Мыслить как преступник,Родина,Квантовый скачок,Касл"
Данис Мухаметшин,https://www.kinopoisk.ru/name/3690765,"Оператор,Монтажер","1, 2012 — 2012",
Вера Воронкова,https://www.kinopoisk.ru/name/231314,"Актриса,Актриса дубляжа","89, 1990 — 2024","Любовник,Любовь,Дневник его жены,Время танцора,Дневник убийцы,Старая гвардия. Огненный след,Старая гвардия,Предчувствие,Русалки"
Юрий Насонов,https://www.kinopoisk.ru/name/6105604,Актер,"11, 2020 — 2024","Майор Гром: Чумной Доктор. Расширенная версия,Майор Гром: Чумной Доктор,ЮЗЗЗ,Золотое дно,Стая"
Владимир Машков,https://www.kinopoisk.ru/name/733,"Актер,Режиссер,Продюсер,Сценарист,Актер дубляжа","73, 1984 — 2023","Вор,Папа,Вызов,Сирота казанская,Экипаж,Ликвидация,Идиот,Статский советник,Медное солнце,Григорий Р."
Юрий Сазонов,https://www.kinopoisk.ru/name/1079237,"Актер,Актер дубляжа","194, 2001 — 2024","Отчий берег,Кухня,Магомаев,Полицейский с Рублёвки в Бескудниково,Доктор Живаго"
Михаил Лукичев,https://www.kinopoisk.ru/name/4718823,Актер,"1, 2016 — 2016",
Борис Акунин,https://www.kinopoisk.ru/name/552291,Сценарист,"19, 2002 — 2022","Статский советник,Турецкий гамбит,Турецкий гамбит,Статский советник,Пелагия и белый бульдог,Фандорин. Азазель,Азазель"
Владимир Лилицкий,https://www.kinopoisk.ru/name/3936480,Актер,"22, 2010 — 2020","Битва за Севастополь,Битва за Севастополь,До свидания, мальчики,Кордон следователя Савельева,Заяц, жаренный по-берлински,Анка с Молдаванки"
Наталия Светличнова,https://www.kinopoisk.ru/name/7188142,Актриса,"1, 2023 — 2023",
Александр Файфман,https://www.kinopoisk.ru/name/1304326,"Продюсер,Режиссер","15, 1998 — 2021",Вечерний Ургант
Екатерина Вилкова,https://www.kinopoisk.ru/name/1258688,Актриса,"97, 1997 — 2023","Последний богатырь: Корень зла,У людей так бывает,Последний богатырь,Отцы и дети,Батальонъ,Шифр,Начальник разведки,Ученица Мессинга,Мамы чемпионов,Гостиница «Россия»"
Алексей Миронов,https://www.kinopoisk.ru/name/4236420,Актер,"3, 2014 — 2017",
Артем Волобуев,https://www.kinopoisk.ru/name/1615175,Актер,"30, 2006 — 2024","Вызов,Магомаев,Вокально—криминальный ансамбль,Как Деревянко Ломоносова играл,За полчаса до весны,Кухня"
Андрей Бедняков,https://www.kinopoisk.ru/name/2804171,Актер,"12, 2012 — 2018",
Людмила Касаткина,https://www.kinopoisk.ru/name/238447,"Актриса,Актриса дубляжа","42, 1954 — 2011","Помни имя свое,Укрощение строптивой,Медовый месяц,Душечка,Укротительница тигров,Вызываем огонь на себя,Операция «Трест»,Большая перемена"
Нина Гусева,https://www.kinopoisk.ru/name/1975377,"Актриса,Режиссер,Сценарист,Продюсер","21, 2006 — 2023","Нулевой пациент,Сладкая жизнь,Лучше, чем люди,Вторые,Псих"
Александр Макаров,https://www.kinopoisk.ru/name/3431000,"Продюсер,Оператор","1, 2012 — 2012",
Оксана Акиньшина,https://www.kinopoisk.ru/name/42164,Актриса,"51, 2001 — 2024","Сёстры,Лиля навсегда,Превосходство Борна,Контейнер,Беспринципные,Полёт,Петля Нестерова,The Телки"
Антон Миранчук,https://www.kinopoisk.ru/name/5150308,Актер,"2, 2018 — 2019",Вне игры
Владислав Ветров,https://www.kinopoisk.ru/name/742602,"Актер,Актер дубляжа,Сценарист,Режиссер","159, 1986 — 2024","Рябиновый вальс,Московские тайны. Тринадцатое колено,Московские тайны. Бедная Лиза,Адмиралъ,Московские тайны. Либерея,Зворыкин-Муромец,Спас под березами,Деньги,Красивая жизнь,Заключение"
Иван Пшенин,https://www.kinopoisk.ru/name/6448148,"Режиссер,Сценарист,Оператор","6, 2018 — 2022",
Алина Ходжеванова,https://www.kinopoisk.ru/name/3148988,Актриса,"13, 2016 — 2024",Монастырь
Владимир Матвеев,https://www.kinopoisk.ru/name/563497,"Актер,Актер дубляжа","112, 1977 — 2023","Кукушка,Салют-7,Придел Ангела,Камышовый рай,Последняя дорога,Знахарь,Ментовские войны 4,Агент особого назначения,Конец невинности,Сонька: Продолжение легенды"
Анастасия Шантарина,https://www.kinopoisk.ru/name/3889693,Актриса,"1, 2015 — 2015",
Фёдор Бондарчук,https://www.kinopoisk.ru/name/231517,"Продюсер,Актер,Режиссер,Актер дубляжа,Сценарист","245, 1986 — 2024","Лёд 3,Яга и книга заклинаний,Я остаюсь,Повелитель ветра,Лёд 2,Мастер,Слово пацана. Кровь на асфальте,Тётя Марта,Женский батальонъ,Мамы чемпионов"
Дана Абызова,https://www.kinopoisk.ru/name/3678761,Актриса,"38, 2014 — 2023","На твоей стороне,Любовь с ароматом кофе,Испытание,Мажор,Мажор 2"
Лариса Левски,https://www.kinopoisk.ru/name/4047108,Продюсер,"1, 2015 — 2015",
Александр Юрасов,https://www.kinopoisk.ru/name/5838628,Продюсер,"4, 2015 — 2023","Анатолий Крупнов. Он был,Михаил Горшенёв. Легенда о Короле и Шуте"
Виталий Усанов,https://www.kinopoisk.ru/name/281383,Актер,"12, 1983 — 2023","Семеро солдатиков,Секретный фарватер"
Катерина Шпица,https://www.kinopoisk.ru/name/1555520,"Актриса,Актриса дубляжа","81, 2004 — 2023","Экипаж,Поддубный,Метро,Иваново счастье. Новые истории,У людей так бывает,Казанова,Жёлтый глаз тигра,Молодая гвардия,Ласточкино гнездо,Катя: Военная история"
Александр Евменов,https://www.kinopoisk.ru/name/5775873,Актер,"12, 2016 — 2022",
Анастасия Фомина,https://www.kinopoisk.ru/name/3366909,Актриса,"12, 2008 — 2023","Праведник,Невский"
Мария Глазунова,https://www.kinopoisk.ru/name/3733340,Актриса,"6, 2012 — 2017","Мажор 2,Предатель"
Вера Иванко,https://www.kinopoisk.ru/name/1624333,Актриса,"16, 2001 — 2014",Ералаш
Паулина Андреева,https://www.kinopoisk.ru/name/3429664,"Актриса,Сценарист,Режиссер,Продюсер","37, 2006 — 2023","Конёк-Горбунок,Метод,Спящие,Лучше, чем люди,Вертинский,13 клиническая"
Екатерина Соломатина,https://www.kinopoisk.ru/name/1605265,"Актриса,Актриса дубляжа","107, 2001 — 2023","Господа Головлевы,Со дна вершины,Мачеха,Женские мечты о дальних странах,Триггер,Глухарь. Продолжение,По законам военного времени"
Мария Петухова,https://www.kinopoisk.ru/name/4510827,"Режиссер,Сценарист,Продюсер","7, 2010 — 2016",
Евгений Кошевой,https://www.kinopoisk.ru/name/1805949,Актер,"23, 2005 — 2021","Слуга народа 2,Вечерний квартал,Слуга народа,Разница в возрасте,Небесные родственники"
Фаррух Комилов,https://www.kinopoisk.ru/name/1865026,Актер,"2, 2007 — 2008",Иной
