label,link,specialization,films_years,description
Николай Сазонов,https://www.kinopoisk.ru/name/6441359,Оператор,"1, 2021 — 2021",
Елизавета Уварова,https://www.kinopoisk.ru/name/325677,"Актриса,Актриса дубляжа","41, 1938 — 1977","Усатый нянь,Город мастеров,Тим Талер, или Проданный смех,Иван да Марья,Веселое волшебство,Судьба,Сержант милиции"
Алексей Шевченков,https://www.kinopoisk.ru/name/552322,Актер,"146, 1994 — 2024","Излечить страх,Турист,72 часа,Мёртвое поле,Красный призрак,Русские горки,Экспроприатор,Катя: Военная история,Медное солнце,Чужая стая"
Вера Тарасова,https://www.kinopoisk.ru/name/269552,Актриса,"88, 1995 — 2023","Батя,Лёд 2,Жена полицейского,Иванько,Синичка,Паук,Ивановы-Ивановы"
Кирилл Ненашев,https://www.kinopoisk.ru/name/4250297,"Режиссер,Сценарист,Оператор,Продюсер","6, 2011 — 2019",Ступа
Ольга Бутова,https://www.kinopoisk.ru/name/6697891,Актриса,"3, 2023 — 2023",Сармат
Александр Аноприков,https://www.kinopoisk.ru/name/1996373,Актер,"52, 2006 — 2023","Чебурашка,Ненастье,Жёлтый глаз тигра,Глухарь,Десантный Батя,Контейнер"
Елизавета Пенина,https://www.kinopoisk.ru/name/6470081,Актриса,"1, 2020 — 2020",
Сергей Новиков,https://www.kinopoisk.ru/name/280911,Актер,"21, 1990 — 2020","Московские тайны. Бедная Лиза,Угрюм-река,Иное,Братья Карамазовы,Операция «Сатана»"
Сергей Фролов,https://www.kinopoisk.ru/name/3738522,"Режиссер,Оператор,Сценарист,Продюсер,Монтажер","3, 2015 — 2020",
Гражина Байкштите,https://www.kinopoisk.ru/name/284593,Актриса,"29, 1969 — 2016","Сказка о звездном мальчике,В четверг и больше никогда"
Александр Половцев,https://www.kinopoisk.ru/name/257059,"Актер,Актер дубляжа","89, 1989 — 2023","Кука,Американка,Бакенбарды,Свои,Женская собственность,Восьмидесятые,Последняя встреча,Убойная сила,Диверсант 2: Конец войны,Гибель Империи"
Валерий Леонтьев,https://www.kinopoisk.ru/name/304350,Актер,"16, 1981 — 2018",
Лев Рубинштейн,https://www.kinopoisk.ru/name/1784348,,2,
Илья Ловкий,https://www.kinopoisk.ru/name/3062411,"Актер,Режиссер","39, 2008 — 2023","Лермонтов,Подольские курсанты,Дурак,Король и Шут,Мамочки,Петр Лещенко. Все, что было…,Склифосовский,Раневская"
Александр Вилинский,https://www.kinopoisk.ru/name/6549331,Композитор,"1, 2021 — 2021",
Анастасия Старожицкая,https://www.kinopoisk.ru/name/2788088,"Режиссер,Сценарист","1, 2012 — 2017",
Сергей Годин,https://www.kinopoisk.ru/name/1757825,"Актер,Режиссер,Сценарист,Монтажер","45, 2009 — 2023","Вызов,Контейнер,Выжить после,За полчаса до весны,257 причин, чтобы жить,Триггер"
Наталья Ковалева,https://www.kinopoisk.ru/name/1929668,"Актриса,Режиссер","24, 1989 — 2016","Шулер,До свидания, мальчики,Маэстро,Кордон следователя Савельева"
Бронислав Дардзиньский,https://www.kinopoisk.ru/name/205192,"Актер,Режиссер","18, 1925 — 1965",Фараон
Егор Шевяков,https://www.kinopoisk.ru/name/4729256,Актер,"22, 2000 — 2022","Ивановы-Ивановы,Алтарь Тристана,Последняя статья журналиста,Невский. Проверка на прочность,Консультант"
Владимир Басов мл.,https://www.kinopoisk.ru/name/245765,"Актер дубляжа,Актер,Режиссер,Продюсер,Сценарист","109, 1968 — 2023","Отроки во Вселенной,Вместо меня,Москва — Кассиопея,Трясина,«Авария» — дочь мента,Ералаш,Боцман и попугай"
Полина Лебедева,https://www.kinopoisk.ru/name/3688980,Актриса,"1, 2013 — 2013",
Кирилл Бурдихин,https://www.kinopoisk.ru/name/1620646,"Актер,Продюсер","60, 2001 — 2024","Вокально—криминальный ансамбль,Пуля,Секунда до...,Три дня лейтенанта Кравцова,Живой"
Максим Колесников,https://www.kinopoisk.ru/name/1629061,Актер,"2, 2007 — 2011",Ярик
Вахтанг Беридзе,https://www.kinopoisk.ru/name/1663519,"Актер,Продюсер,Сценарист","43, 1999 — 2023","Мужчина в моей голове,Случайная невеста,Триггер,Ментовские войны 2,Мастер и Маргарита,Десантура"
Владимир Логинов,https://www.kinopoisk.ru/name/5901354,Продюсер,"2, 2020 — 2023",
Михаил Апарцев,https://www.kinopoisk.ru/name/1923547,"Актер,Режиссер","2, 2007 — 2009",
Алексей Бакланов,https://www.kinopoisk.ru/name/6725546,Композитор,"1, 2021 — 2021",
Алексей Байдаков,https://www.kinopoisk.ru/name/1827202,Актер,"50, 2008 — 2022","Мистер Нокаут,Комиссарша,Тест на беременность,Последняя статья журналиста,Янычар,Чужой район 2"
Алина Титова,https://www.kinopoisk.ru/name/3727147,Актриса,"30, 2012 — 2020","Город особого назначения,Кухня,Первый отдел,Невский,Пять минут тишины. Возвращение"
Прохор Чеховской,https://www.kinopoisk.ru/name/1653657,"Актер дубляжа,Актер,Режиссер дубляжа","647, 1983 — 2023","Фиксики: Большой секрет,Фиксики против кработов,Щелкунчик и волшебная флейта,Бука. Моё любимое чудище,Большое путешествие. Специальная доставка,Сатисфакция,Забытое чудо,Геройчики,Музыкальный патруль. Сказочные песни,Лекс и Плу: Космические таксисты"
Адан Амир,https://www.kinopoisk.ru/name/4373260,Актер,"1, 1999 — 1999",
Владислав Валов,https://www.kinopoisk.ru/name/6090449,"Сценарист,Актер,Продюсер","5, 2005 — 2020",
Максим Пинскер,https://www.kinopoisk.ru/name/1620662,"Актер,Актер дубляжа","93, 1989 — 2022","Дурак,На Муромской дорожке,Родные,Саранча,Семейный бизнес,Тётя Марта,Колл-центр,Последний министр"
Владимир Долгов,https://www.kinopoisk.ru/name/6725547,Композитор,"1, 2021 — 2021",
Юлия Медведева-Титаренко,https://www.kinopoisk.ru/name/4754203,Актриса,"7, 2008 — 2022","Вне себя,Алиса против правил"
Роман Юнусов,https://www.kinopoisk.ru/name/1827411,"Актер,Сценарист,Актер дубляжа","25, 2005 — 2023",Лето в городе
Алёна Ковальчук,https://www.kinopoisk.ru/name/1598522,Актриса,"12, 1999 — 2013","Простые истины,Операция «Цвет нации»"
Анна Шульгина,https://www.kinopoisk.ru/name/3613932,Актриса,"1, 2014 — 2014",
Олег Суховерхов,https://www.kinopoisk.ru/name/4831176,Актер,"10, 2015 — 2022","Последний богатырь: Корень зла,Нулевой пациент,Бюро,Беспринципные,Готовы на всё"
Сергей Дроботенко,https://www.kinopoisk.ru/name/1810334,Актер,"2, 2004 — 2006",
Богдан Вавилов,https://www.kinopoisk.ru/name/10144013,Актер,"1, 2017 — 2017",Озон 2: Кровавый спорт
Татьяна Рыбинец,https://www.kinopoisk.ru/name/1942262,"Актриса,Сценарист,Режиссер,Монтажер","54, 2006 — 2021","Про Лёлю и Миньку,В небо за мечтой,Летчик,Преступление,Чернобыль: Зона отчуждения,Как я стал русским,Мама-детектив,Жуков"
Борис Скрипка,https://www.kinopoisk.ru/name/6807037,"Режиссер,Сценарист,Оператор","1, 2018 — 2018",
Дилия Рузиева,https://www.kinopoisk.ru/name/2758933,Актриса,"5, 2003 — 2023","Слово пацана. Кровь на асфальте,Скорая помощь 5,Золотая орда"
Сергей Главчев,https://www.kinopoisk.ru/name/2726634,Актер,"17, 2010 — 2022","Когда на юг улетят журавли,Дворняжка Ляля"
Арина Иванова,https://www.kinopoisk.ru/name/3613170,Актриса,"7, 2008 — 2016","Батальонъ,Ленинград 46,Чужой район 3,Невский,Маргарита Назарова,Такая работа"
Василий Шевелилкин,https://www.kinopoisk.ru/name/1649305,Актер,"47, 2000 — 2023","Глухарь. Возвращение,Корни,За час до рассвета,Скорая помощь 3,Истребители"
Игорь Скляр,https://www.kinopoisk.ru/name/261707,"Актер,Актер дубляжа","89, 1973 — 2023","Мы из джаза,Похороните меня за плинтусом,Год Собаки,Дети понедельника,Берегите женщин,Батальоны просят огня,Диверсант 2: Конец войны,Узник замка Иф,Екатерина. Взлет,Икра"
Владислав Ушаков,https://www.kinopoisk.ru/name/3384484,Актер,"10, 2013 — 2018",Русалки
Олег Аккузин,https://www.kinopoisk.ru/name/3727621,Актер,"43, 2008 — 2022","Доктор Лиза,Казнь,Красная королева,Карпов. Сезон второй,Спящие,Истребители: Последний бой,Сделано в СССР"
Ольга Львова,https://www.kinopoisk.ru/name/4921610,Актриса,"1, 2017 — 2017",ЭТО Я
Сергей Богданов,https://www.kinopoisk.ru/name/2999375,Актер,"3, 2011 — 2019","Московские тайны. Бедная Лиза,Из Сибири с любовью"
Керсти Уйбо,https://www.kinopoisk.ru/name/3365910,Режиссер,"1, 2003 — 2018",
Никита Демидов,https://www.kinopoisk.ru/name/6807050,Актер,"3, 2020 — 2022",
Евгений Кожевин,https://www.kinopoisk.ru/name/1897393,,5,
Евгения Щербакова,https://www.kinopoisk.ru/name/3890128,"Актриса,Режиссер,Сценарист,Продюсер","19, 2006 — 2023","Холоп,Царевны,Монсики,Посольство,Пятницкий. Глава третья,Пятницкий. Глава четвёртая"
Наталья Громушкина,https://www.kinopoisk.ru/name/290474,"Актриса,Актриса дубляжа","59, 1989 — 2023","До первой крови,Казанова в России. Тайная миссия,Джокер,Город соблазнов,Домашний арест,Погнали"
Александр Бородулин,https://www.kinopoisk.ru/name/5044910,Актер,"2, 2018 — 2022",
Александр Уман,https://www.kinopoisk.ru/name/1543907,"Актер,Композитор","24, 2005 — 2022","О чём говорят мужчины,День выборов"
Виктор Астафьев,https://www.kinopoisk.ru/name/313502,"Сценарист,Актер","12, 1979 — 2023","Дважды рожденный,Таежная повесть"
Арцвик,https://www.kinopoisk.ru/name/4084793,Актриса,"2, 2016 — 2017",
Евгения Волкова,https://www.kinopoisk.ru/name/1575883,Актриса,"11, 2001 — 2013",
Джинтаре Парулюте,https://www.kinopoisk.ru/name/52793,"Актриса,Режиссер,Сценарист","25, 2001 — 2023","Дом мальчиков,Девушка с жемчужной сережкой,Тайна империи"
Вячеслав Дёмин,https://www.kinopoisk.ru/name/2007877,"Художник,Актер","15, 2001 — 2013","Исаев,Морской патруль 2,Из пламя и света"
Ксения Скачкова,https://www.kinopoisk.ru/name/5370876,"Актриса дубляжа,Актриса","42, 2016 — 2023",Тикабо
Yulia Efimova,https://www.kinopoisk.ru/name/4477000,,1,
Анна Мельниченко,https://www.kinopoisk.ru/name/6998477,Актриса,"7, 2012 — 2023",Склифосовский
Александра Назарова,https://www.kinopoisk.ru/name/290301,"Актриса дубляжа,Актриса","233, 1945 — 2020","А если это любовь?,Любимая,Экипаж,Колыбельная для брата,Любовь с привилегиями,Бригада,Глухарь. Возвращение,Громовы,Граница: Таежный роман,Краткий курс счастливой жизни"
Сергей Пехлецкий,https://www.kinopoisk.ru/name/3165941,"Продюсер,Сценарист,Директор фильма","9, 1961 — 2023","Взрослым не понять,КВН. Высшая лига,Галилео,Своя игра"
Сергей Чиграков,https://www.kinopoisk.ru/name/75886,"Актер,Композитор","4, 2000 — 2017",
Владимир Скворцов,https://www.kinopoisk.ru/name/1617130,"Актер,Актер дубляжа,Режиссер","67, 1988 — 2023","Капкан для монстра,Штрафбат,Чужая кровь,Грязная работа"
Линдси Олсен,https://www.kinopoisk.ru/name/3663779,Актриса,"10, 2001 — 2012",
Вадим Утенков,https://www.kinopoisk.ru/name/1615959,Актер,"56, 1999 — 2023","Захватчики,Простые истины,Участок лейтенанта Качуры. Сетевая угроза,Страна Советов. Забытые вожди,ЧС. Чрезвычайная ситуация"
Дарина Шмидт,https://www.kinopoisk.ru/name/1560289,"Сценарист,Режиссер,Художник","21, 2003 — 2022","Три кота. Летние серии,Три кота и море приключений,Иван Царевич и Серый Волк 4,Три богатыря и Конь на троне,Конь Юлий и большие скачки,Отель у овечек,Царевны,Гора самоцветов,Три кота,Тима и Тома"
Екатерина Бужинская,https://www.kinopoisk.ru/name/4750880,Актриса,"2, 1998 — 2010",
Дмитрий Магонов,https://www.kinopoisk.ru/name/1601804,"Режиссер,Продюсер,Сценарист,Оператор","29, 2005 — 2023","Золотая кровь. Чёртов кистень,Моя любимая мишень,Пёс"
Изольда Извицкая,https://www.kinopoisk.ru/name/272499,Актриса,"23, 1954 — 1993","Каждый вечер в одиннадцать,Сорок первый,Доброе утро,Очередной рейс,Мир входящему,Вызываем огонь на себя"
Вага Варданян,https://www.kinopoisk.ru/name/4674376,"Режиссер,Сценарист","8, 2016 — 2021",История одного землетрясения
Алексей Лихницкий,https://www.kinopoisk.ru/name/1827410,"Продюсер,Актер,Сценарист","22, 2005 — 2022",
Игорь Ларин,https://www.kinopoisk.ru/name/1102661,"Актер,Режиссер","10, 2000 — 2012",Тайны следствия
Антон Белов,https://www.kinopoisk.ru/name/1605279,Актер,"5, 2000 — 2022","Ника,Дети Арбата"
Рустам Бултаев,https://www.kinopoisk.ru/name/4757777,Продюсер,"2, 2017 — 2019",
Ион Друцэ,https://www.kinopoisk.ru/name/342115,Сценарист,"8, 1958 — 1981",Любить...
Павел Шинкарев,https://www.kinopoisk.ru/name/4549449,Актер,"1, 2015 — 2015",
Василий Шмаков,https://www.kinopoisk.ru/name/1964651,Актер,"35, 2005 — 2024","Розыск 3,Розыск 2,Розыск,Золотая клетка,Глухарь. Продолжение"
Анастасия Денисова,https://www.kinopoisk.ru/name/2795078,Актриса,"14, 2012 — 2024",
Ульяна Чжан,https://www.kinopoisk.ru/name/6198044,Актриса,"13, 2019 — 2024","Зона комфорта,Контакт,Чёрная весна,Семья"
Николай Сидоренко,https://www.kinopoisk.ru/name/7057223,Актер,"1, 2022 — 2022",
Эльмир Ибрагимов,https://www.kinopoisk.ru/name/7122919,Актер,"6, 2016 — 2023","Хитровка. Знак четырех,Стрим"
Нусрат Хусанов,https://www.kinopoisk.ru/name/4742802,Оператор,"9, 2012 — 2017",
Далер Назаров,https://www.kinopoisk.ru/name/294572,"Композитор,Актер","24, 1979 — 2020","Старухи,Лунный папа"
Ульяна Перетолчина,https://www.kinopoisk.ru/name/2811384,Актриса,"25, 2004 — 2023","Магомаев,Великолепная пятёрка,АльфаРомео,Крепкие орешки"
Ирина Чеснокова,https://www.kinopoisk.ru/name/3660905,"Актриса,Сценарист,Продюсер","19, 2014 — 2021",
Игорь Бушмелев,https://www.kinopoisk.ru/name/1613681,Актер,"9, 1989 — 2013","Мать,Между нами, девочками,Высший пилотаж"
Олег Брант,https://www.kinopoisk.ru/name/7145765,"Режиссер,Композитор,Монтажер,Звукорежиссер","2, 2023 — 2023",
Игорь Савочкин,https://www.kinopoisk.ru/name/572987,Актер,"106, 1993 — 2022","Щенок,Дом,Любовь под прикрытием,Кука,Капитан Волконогов бежал,Крик совы,Громовы,Демоны,Черные кошки,Анна. Жена егеря"
Константин Шелестун,https://www.kinopoisk.ru/name/1118008,"Актер,Актер дубляжа","76, 2000 — 2023","Северное сияние. О чем молчат русалки. Фильм пятый,Северное сияние. Когда мёртвые возвращаются. Фильм седьмой,Северное сияние. Ведьмины куклы. Фильм второй,Северное сияние. Проклятье пустынных болот. Фильм шестой,Северное сияние. Следы смерти. Фильм четвертый,Заключение,Охотники за головами,Моими глазами,Идиот,Жизнь и судьба"
Маргарита Шабардыгина,https://www.kinopoisk.ru/name/6864725,Актриса,"13, 2019 — 2023","Вампиры средней полосы,Шеф. Возвращение,Беспринципные,Два холма,Политех"
Михаил Евланов,https://www.kinopoisk.ru/name/1600601,Актер,"134, 2000 — 2024","Свои,Путь к себе,Подсадной,Брестская крепость,День выборов,Шифр,Степные дети,Самогон,Боевая единичка,Однолюбы"
Стефания Баюшкина,https://www.kinopoisk.ru/name/7171300,Актриса,"13, 2012 — 2024","Свет,За нас с вами,Склифосовский,Стрим,Девушки с Макаровым,Полицейский с YouТюба"
Анна Бондарь,https://www.kinopoisk.ru/name/6918972,"Режиссер,Сценарист,Оператор","2, 2021 — 2022",
Владислав Лешкевич,https://www.kinopoisk.ru/name/2383490,"Актер,Композитор","14, 2009 — 2022","Рассказы,Доброволец,Закон каменных джунглей"
Эрадж Нидоев,https://www.kinopoisk.ru/name/6904452,"Режиссер,Сценарист,Продюсер","2, 2019 — 2022",
Эва Кэтс,https://www.kinopoisk.ru/name/2942669,Актриса,"5, 2004 — 2013",
Елена Морозова,https://www.kinopoisk.ru/name/294309,"Актриса,Актриса дубляжа","100, 1978 — 2024","Дневник его жены,Проданный смех,Калашников,Казнь,Лёд 2,Шахта,Библиотекарь,Провинциальный детектив,Анна. Жена егеря,Предчувствие"
Владимир Перегудов,https://www.kinopoisk.ru/name/558118,Актер,"26, 2001 — 2017","Зона,Физрук,Московская сага"
Александр Стёпин,https://www.kinopoisk.ru/name/1667055,"Актер,Актер дубляжа","95, 1999 — 2017","Бункер,Одиночка,Качели,Русский ковчег,Карпов,Ментовские войны,Последнее путешествие Синдбада,Ментовские войны 6,Шеф 2"
Велимир Русаков,https://www.kinopoisk.ru/name/1203384,"Актер,Актер дубляжа,Композитор,Сценарист,Режиссер,Продюсер,Оператор,Монтажер","79, 1992 — 2023","Дом Солнца,Зимний роман,Любовь под прикрытием,По ту сторону волков,Романовы,Жизнь и приключения Мишки Япончика,Глухарь. Продолжение,Ищейка"
Екатерина Самуйлина,https://www.kinopoisk.ru/name/4422208,Актриса,"3, 2016 — 2022","Легенды «Орлёнка»,Большой"
Андрей Лебединский,https://www.kinopoisk.ru/name/1607890,Актер,"9, 2004 — 2015",Игра на выбывание
Арво Ихо,https://www.kinopoisk.ru/name/245386,"Оператор,Режиссер,Актер,Сценарист,Продюсер,Монтажер,Художник","22, 1973 — 2018",Игры для детей школьного возраста
Дарья Башкина,https://www.kinopoisk.ru/name/4280513,Актриса,"1, 2015 — 2015",
Анна Курбатова,https://www.kinopoisk.ru/name/3093993,"Продюсер,Сценарист,Режиссер","23, 2013 — 2023","Моя ужасная сестра 2,Открытый брак,Трасса смерти,Жену вызывали?"
Виктория Ланевская,https://www.kinopoisk.ru/name/3890032,Актриса,"5, 2006 — 2020",Кухня
Юлия Меньшова,https://www.kinopoisk.ru/name/277439,"Актриса,Актриса дубляжа","31, 1988 — 2022","Между нами, девочками,Между нами, девочками. Продолжение,Простоквашино"
Александр Сериденко,https://www.kinopoisk.ru/name/674004,"Актер,Продюсер,Актер дубляжа","15, 1997 — 2021","321-я сибирская,Молодёжка"
Дмитрий Якунин,https://www.kinopoisk.ru/name/3871025,"Продюсер,Сценарист","28, 2014 — 2023","Анатолий Крупнов. Он был,Испытание аулом,Михаил Горшенёв. Легенда о Короле и Шуте"
Егор Чинилин,https://www.kinopoisk.ru/name/5473706,"Оператор,Монтажер","5, 2017 — 2021",
Ульяна Леонова,https://www.kinopoisk.ru/name/4072125,"Актер,Монтажер","5, 2014 — 2020",
Валентина Кособуцкая,https://www.kinopoisk.ru/name/134180,"Актриса,Актриса дубляжа","49, 1973 — 2023","Труффальдино из Бергамо,Новогодние приключения Маши и Вити,Шерлок Холмс и доктор Ватсон: Сокровища Агры,Замри-умри-воскресни!,Невероятное пари, или Истинное происшествие, благополучно завершившееся сто лет назад,Первый отдел,Купчино,Большой дом,Жить сначала,Воспоминания о Шерлоке Холмсе"
Карен Арутюнов,https://www.kinopoisk.ru/name/3357353,"Актер,Сценарист,Актер дубляжа,Режиссер,Продюсер,Композитор,Режиссер дубляжа","16, 2005 — 2023","КВН. Высшая лига,Отмороженные"
Ольга Картункова,https://www.kinopoisk.ru/name/3713196,Актриса,"18, 2014 — 2023","Всё, кроме обычного,КВН. Высшая лига,Ералаш"
Владимир Иваний,https://www.kinopoisk.ru/name/3592585,Актер,"55, 2006 — 2023","Последний богатырь,Железный лес,Триггер,Нулевая мировая,Екатерина. Взлет,СССР"
Евгений Шепелевич,https://www.kinopoisk.ru/name/6495706,Актер,"8, 2008 — 2020","Последняя статья журналиста,Невский,Высокие ставки,Великолепная пятёрка,Условный мент"
Максим Янковский,https://www.kinopoisk.ru/name/3923047,Актер,"4, 2000 — 2014","Шеф 2,Тайны следствия"
Светлана Сиволоцкая,https://www.kinopoisk.ru/name/3471581,Актриса,"5, 2010 — 2014",Дворняжка Ляля
Леван Пааташвили,https://www.kinopoisk.ru/name/159733,"Оператор,Продюсер","24, 1958 — 2005","Бег,Голубые горы, или Неправдоподобная история,До свидания, мальчики,Чужие дети,Романс о влюбленных,Сибириада"
Анна Кузминская,https://www.kinopoisk.ru/name/1420530,Актриса,"18, 2003 — 2019","Сель,Я лечу,Опережая выстрел"
Максим Пономарёв,https://www.kinopoisk.ru/name/3212824,Актер,"7, 2012 — 2019","Ментовские войны 7,Чужой район 3,Полярный"
Анна Хинтс,https://www.kinopoisk.ru/name/3092615,"Режиссер,Сценарист,Продюсер,Композитор,Монтажер","7, 2012 — 2024",
Дмитрий Матросов,https://www.kinopoisk.ru/name/3919331,"Сценарист,Актер","9, 2006 — 2023","Артек. Большое путешествие,Папины дочки. Новые,Ивановы-Ивановы"
Гарик Папоян,https://www.kinopoisk.ru/name/3087088,"Актер,Композитор","5, 2013 — 2017",Супер мама
Анна Капалева,https://www.kinopoisk.ru/name/1654819,Актриса,"30, 2004 — 2024","СОБР,Чужая кровь,След саламандры,Дом образцового содержания,Шифр"
Никита Санаев,https://www.kinopoisk.ru/name/4203550,Актер,"16, 2013 — 2023","Неадекватные люди 2,Тайны госпожи Кирсановой,Мерзлая земля"
Всеволод Ларионов,https://www.kinopoisk.ru/name/122790,"Актер,Актер дубляжа","243, 1939 — 2005","Крейсер «Варяг»,Анна Павлова,Улица полна неожиданностей,Пятнадцатилетний капитан,Демидовы,Анна Павлова,12 стульев,Сибириада,Королева Марго,Боцман и попугай"
Михаил Козаков,https://www.kinopoisk.ru/name/192777,"Актер,Режиссер,Сценарист,Актер дубляжа","142, 1956 — 2011","Покровские ворота,Безымянная звезда,Здравствуйте, я ваша тетя!,Выстрел,Обыкновенная история,Хождение по мукам,Последняя встреча,Вся королевская рать,20 декабря,Государственная граница"
Сергей Саркисов,https://www.kinopoisk.ru/name/6987618,"Режиссер,Сценарист,Продюсер,Монтажер","3, 2022 — 2023",
Татьяна Сазонова,https://www.kinopoisk.ru/name/2007114,Художник,"27, 1958 — 1984",
Виталий Ерыгин,https://www.kinopoisk.ru/name/4552813,Актер,"1, 2017 — 2017",Вы все меня бесите
Арсений Асташкин,https://www.kinopoisk.ru/name/1823869,Актер,"12, 2008 — 2018","Глухарь. Продолжение,ЧС. Чрезвычайная ситуация,Фарца"
Елена Шичкина,https://www.kinopoisk.ru/name/7056369,Актриса,"2, 2011 — 2019",Филатов
Пётр Романов,https://www.kinopoisk.ru/name/3768400,Актер,"29, 2006 — 2023","Филатов,Отмороженные,Большая игра,Форт Боярд,Маргарита Назарова"
Екатерина Шипулина,https://www.kinopoisk.ru/name/2339831,Актриса,"3, 2015 — 2017",
Александр Запорожец,https://www.kinopoisk.ru/name/2221788,"Актер дубляжа,Актер","88, 2010 — 2023","Кошечки-Собачки. Летние каникулы,Лучше, чем люди,Геройчики,Маша и Медведь. Сезон 7,Кошечки-Собачки. Милые песни,Кошечки-собачки"
Никита Комаричев,https://www.kinopoisk.ru/name/3715660,Актер,"1, 2013 — 2013",Истребители
Игорь Бондаренко,https://www.kinopoisk.ru/name/473251,Продюсер,"3, 2001 — 2004",
Анита Цой,https://www.kinopoisk.ru/name/1205092,"Актриса,Композитор","22, 2005 — 2023","Вторые,Это наши дети!"
Ольга Кавалай-Аксенова,https://www.kinopoisk.ru/name/1955795,"Актриса,Актриса дубляжа","95, 2007 — 2024","Раскол,ЧС. Чрезвычайная ситуация,Как Деревянко Ломоносова играл,Триггер,Крапленый"
Андрей Гальченко,https://www.kinopoisk.ru/name/6866348,Актер,"7, 2012 — 2024","Разрешите обратиться,Склифосовский,Бедные смеются, богатые плачут"
Александр Орлов,https://www.kinopoisk.ru/name/2389607,Продюсер,"4, 2010 — 2014",
Александра Горшкова,https://www.kinopoisk.ru/name/6627753,Продюсер,"6, 2021 — 2023",
Ольга Ламонова,https://www.kinopoisk.ru/name/5593708,Актриса,"14, 2015 — 2023","Цыпленок жареный,Реализация,Условный мент"
Анна Патаракина,https://www.kinopoisk.ru/name/2790686,"Оператор,Режиссер","27, 2011 — 2024",
Янина Лисовская,https://www.kinopoisk.ru/name/287546,"Актриса,Актриса дубляжа","37, 1963 — 2022","Любовь и голуби,Не хочу быть взрослым,Женщины, которым повезло"
Виталий Кравченко,https://www.kinopoisk.ru/name/6435,Актер,"28, 1990 — 2021","Хроники Риддика,Миссия невыполнима: Протокол Фантом,Звездные врата: ЗВ-1,Екатерина,Ворон"
Дмитрий Дибров,https://www.kinopoisk.ru/name/1532822,"Актер,Режиссер,Сценарист,Актер дубляжа","30, 1987 — 2023","Взгляд,Полицейский с Рублёвки в Бескудниково"
Пётр Тобилевич,https://www.kinopoisk.ru/name/1663547,"Актер дубляжа,Актер","181, 1958 — 2022",
Ксения Зайка,https://www.kinopoisk.ru/name/6767824,"Продюсер,Сценарист","7, 2015 — 2023","Просто о важном. Про Миру и Гошу,Спорт Тоша,Тайны медовой долины,Малышарики"
Нелли Ртвеладзе,https://www.kinopoisk.ru/name/4216603,Актриса,"5, 1989 — 2019",Семейный бизнес
Светлана Тормахова,https://www.kinopoisk.ru/name/284568,Актриса,"57, 1974 — 2020","Мужики!..,Асса,Благие намерения,Сад желаний,Юркины рассветы,Хождение по мукам"
Юлианна Караулова,https://www.kinopoisk.ru/name/1543814,"Актриса,Актриса дубляжа","27, 2006 — 2023","Хоккейные папы,Ёлки-иголки,Конфетка,Музыкальная интуиция,Всё, кроме обычного,Импровизация"
Ярослав Денисов,https://www.kinopoisk.ru/name/3062108,"Режиссер,Сценарист,Монтажер,Продюсер,Оператор,Актер","5, 2010 — 2015",
Баян Алагузова,https://www.kinopoisk.ru/name/2214549,"Актриса,Продюсер","22, 1993 — 2023","Донор,Счастье,Обрати на меня внимание,Коктейль для звезды,Квартиранты"
Ольга Бодрова,https://www.kinopoisk.ru/name/6118672,Актриса,"9, 2020 — 2023","Страсти по Матвею,Конец света"
Виктория Фёдорова,https://www.kinopoisk.ru/name/154993,Актриса,"25, 1961 — 1988","Преступление и наказание,О любви,До свидания, мальчики,Урок литературы,Сильные духом,Секретный агент Макгайвер"
Изабелла Богданова,https://www.kinopoisk.ru/name/6867591,"Актриса дубляжа,Актриса","25, 2017 — 2024","Невский. Проверка на прочность,Великолепная пятёрка"
Анна Бегунова,https://www.kinopoisk.ru/name/1420361,"Актриса,Актриса дубляжа","39, 2004 — 2023","Жестокость,Доктор,Кухня,Отель Элеон,Моя большая семья,Полный вперед!,Звоните ДиКаприо!"
Борис Березовский,https://www.kinopoisk.ru/name/1449902,"Продюсер,Актер","13, 1997 — 2020","Чистилище,Листьев. Новый взгляд"
Михаил Пташук,https://www.kinopoisk.ru/name/230531,"Режиссер,Актер,Сценарист,Продюсер","12, 1965 — 2005","В августе 44-го,Знак беды,Наш бронепоезд,Возьму твою боль"
Игорь Петров,https://www.kinopoisk.ru/name/7106371,Художник,"1, 2023 — 2023",
Мария Добржинская,https://www.kinopoisk.ru/name/1620551,Актриса,"25, 2005 — 2023","Нелюбимый,Ласточкино гнездо"
Шена Шульгина,https://www.kinopoisk.ru/name/4056164,Актриса,"11, 2010 — 2022","Карпов. Сезон третий,Пятницкий. Глава четвёртая"
Анастасия Белоусова,https://www.kinopoisk.ru/name/4105935,Актриса,"8, 2015 — 2024",Идентификация
Екатерина Стулова,https://www.kinopoisk.ru/name/604331,Актриса,"69, 1998 — 2024","Аритмия,Мой папа не подарок,Люби их всех,Китайскiй сервизъ,Инспектор Гаврилов,Жуки,Хиромант,Остров ненужных людей,Банды"
Осип Богданов,https://www.kinopoisk.ru/name/7110028,"Режиссер,Сценарист","2, 2021 — 2022",
